iter	Passed	Remaining
1268	9236	5320
1269	9243	5313
1270	9252	5306
1271	9260	5299
1272	9269	5293
1273	9276	5286
1274	9285	5280
1275	9293	5273
1276	9302	5266
1277	9309	5259
1278	9318	5253
1279	9327	5246
1280	9336	5240
1281	9343	5233
1282	9352	5226
1283	9359	5219
1284	9367	5212
1285	9374	5204
1286	9383	5198
1287	9390	5191
1288	9398	5184
1289	9405	5176
1290	9414	5170
1291	9421	5163
1292	9430	5156
1293	9438	5149
1294	9447	5143
1295	9455	5136
1296	9463	5129
1297	9471	5122
1298	9479	5115
1299	9487	5108
1300	9496	5102
1301	9503	5094
1302	9512	5088
1303	9519	5081
1304	9528	5074
1305	9538	5068
1306	9546	5062
1307	9555	5055
1308	9563	5048
1309	9571	5041
1310	9579	5034
1311	9587	5027
1312	9595	5020
1313	9603	5013
1314	9611	5006
1315	9618	4999
1316	9627	4993
1317	9635	4985
1318	9644	4979
1319	9652	4972
1320	9660	4965
1321	9667	4958
1322	9675	4951
1323	9683	4943
1324	9691	4937
1325	9699	4930
1326	9707	4923
1327	9715	4916
1328	9723	4909
1329	9731	4902
1330	9740	4895
1331	9748	4889
1332	9757	4882
1333	9765	4875
1334	9773	4868
1335	9781	4861
1336	9789	4854
1337	9798	4847
1338	9808	4842
1339	9818	4836
1340	9828	4829
1341	9837	4823
1342	9845	4816
1343	9855	4810
1344	9864	4803
1345	9873	4797
1346	9881	4790
1347	9889	4783
1348	9897	4776
1349	9905	4769
1350	9913	4762
1351	9922	4755
1352	9930	4748
1353	9939	4741
1354	9946	4734
1355	9955	4728
1356	9963	4721
1357	9971	4714
1358	9981	4707
1359	9989	4700
1360	9997	4693
1361	10005	4686
1362	10013	4679
1363	10021	4672
1364	10029	4665
1365	10038	4658
1366	10046	4651
1367	10056	4645
1368	10064	4638
1369	10072	4631
1370	10080	4624
1371	10088	4617
1372	10096	4610
1373	10104	4603
1374	10112	4596
1375	10121	4589
1376	10130	4583
1377	10137	4575
1378	10146	4569
1379	10153	4561
1380	10162	4554
1381	10170	4548
1382	10179	4541
1383	10186	4533
1384	10194	4526
1385	10202	4519
1386	10212	4513
1387	10219	4506
1388	10228	4499
1389	10236	4492
1390	10244	4485
1391	10251	4477
1392	10259	4470
1393	10267	4463
1394	10275	4456
1395	10283	4449
1396	10291	4442
1397	10299	4435
1398	10308	4428
1399	10316	4421
1400	10324	4414
1401	10331	4406
1402	10339	4399
1403	10347	4392
1404	10354	4385
1405	10362	4377
1406	10370	4370
1407	10381	4364
1408	10389	4357
1409	10396	4350
1410	10404	4343
1411	10412	4336
1412	10420	4328
1413	10428	4321
1414	10435	4314
1415	10444	4307
1416	10452	4300
1417	10460	4293
1418	10468	4286
1419	10477	4279
1420	10485	4272
1421	10493	4265
1422	10501	4258
1423	10509	4251
1424	10517	4243
1425	10526	4237
1426	10537	4231
1427	10547	4224
1428	10555	4217
1429	10564	4210
1430	10573	4204
1431	10582	4197
1432	10592	4191
1433	10600	4184
1434	10608	4176
1435	10616	4169
1436	10624	4162
1437	10632	4155
1438	10640	4148
1439	10648	4141
1440	10656	4133
1441	10664	4126
1442	10672	4119
1443	10680	4112
1444	10689	4105
1445	10697	4098
1446	10705	4091
1447	10713	4084
1448	10721	4076
1449	10728	4069
1450	10737	4062
1451	10744	4055
1452	10752	4047
1453	10759	4040
1454	10767	4033
1455	10775	4025
1456	10784	4019
1457	10792	4011
1458	10801	4005
1459	10808	3997
1460	10817	3990
1461	10824	3983
1462	10832	3976
1463	10840	3968
1464	10848	3961
1465	10856	3954
1466	10864	3947
1467	10872	3940
1468	10880	3933
1469	10888	3925
1470	10897	3919
1471	10906	3912
1472	10914	3905
1473	10922	3897
1474	10930	3890
1475	10939	3883
1476	10947	3876
1477	10955	3869
1478	10963	3862
1479	10971	3854
1480	10980	3847
1481	10987	3840
1482	10996	3833
1483	11004	3826
1484	11013	3819
1485	11020	3812
1486	11029	3805
1487	11037	3797
1488	11045	3790
1489	11052	3783
1490	11061	3776
1491	11069	3768
1492	11077	3761
1493	11085	3754
1494	11094	3747
1495	11101	3740
1496	11111	3733
1497	11119	3726
1498	11128	3719
1499	11135	3711
1500	11143	3704
1501	11151	3697
1502	11160	3690
1503	11168	3683
1504	11176	3676
1505	11184	3668
1506	11193	3662
1507	11201	3654
1508	11210	3647
1509	11218	3640
1510	11226	3633
1511	11234	3625
1512	11242	3618
1513	11249	3611
1514	11258	3604
1515	11266	3597
1516	11275	3589
1517	11282	3582
1518	11291	3575
1519	11299	3568
1520	11307	3561
1521	11315	3553
1522	11323	3546
1523	11331	3539
1524	11339	3531
1525	11346	3524
1526	11355	3517
1527	11362	3510
1528	11371	3502
1529	11379	3495
1530	11388	3488
1531	11396	3481
1532	11405	3474
1533	11412	3466
